,Title,Release year,Genres,IMDB rating,Runtime,Age rating,Production country,Streaming service,Type,Movie link
144,College Romance,(2018),"Drama, Comedy, Romance",8.3 (29k),31min,A,India,"('Sony Liv',)",tv show,https://www.justwatch.com/in/movie/mr-and-mrs-mahi
145,Those About to Die,(2024),"Drama, Action & Adventure, Comedy",6.5 (7.1k),53min,,"United States, Germany, Italy","('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/animal-2022
146,Supacell,(2024),"Science-Fiction, Drama, Action & Adventure",7.0 (13k),52min,,United Kingdom,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/monster-2023
147,Dark,(2017),"Mystery & Thriller, Crime, Drama, Science-Fiction",8.7 (454k),56min,,Germany,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/inside-out-2
148,The Flash,(2014),"Action & Adventure, Drama, Science-Fiction",7.5 (370k),45min,,United States,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/chandu-champion
149,Cobra Kai,(2018),"Comedy, Drama, Sport, Action & Adventure",8.5 (209k),34min,A,United States,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/maidaan
150,Farzi,(2023),"Crime, Drama, Mystery & Thriller",8.4 (47k),56min,,India,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/satyabhama
151,The Family Man,(2019),"Action & Adventure, Comedy, Drama",8.7 (100k),45min,,India,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/the-ministry-of-ungentlemanly-warfare
152,Fargo,(2014),"Crime, Drama, Mystery & Thriller",8.9 (427k),52min,U,United States,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/a-quiet-place-day-one
153,Dark Matter,(2024),"Drama, Science-Fiction, Mystery & Thriller",7.7 (34k),52min,A,United States,"('Apple TV+',)",tv show,https://www.justwatch.com/in/movie/aranmanai-4
154,Jamnapaar,(2024),Drama,8.2 (3.2k),32min,,India,"('MX Player', 'Amazon miniTV')",tv show,https://www.justwatch.com/in/movie/salaar
155,La Brea,(2021),"Drama, Science-Fiction, Action & Adventure",5.8 (17k),42min,,United States,"('Jio Cinema',)",tv show,https://www.justwatch.com/in/movie/rockstar
156,Westworld,(2016),"Drama, Science-Fiction, Western",8.5 (537k),1h 1min,A,United States,"('Jio Cinema',)",tv show,https://www.justwatch.com/in/movie/dune-2021
157,Under the Dome,(2013),"Mystery & Thriller, Science-Fiction, Drama",6.5 (113k),43min,,United States,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/bhaiyaaji
158,True Detective,(2014),"Drama, Crime, Mystery & Thriller",8.9 (666k),1h 1min,U,United States,"('Jio Cinema',)",tv show,https://www.justwatch.com/in/movie/triangle
159,Alice in Borderland,(2020),"Action & Adventure, Drama, Science-Fiction, Mystery & Thriller",7.7 (100k),54min,,Japan,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/premalu
160,Person of Interest,(2011),"Drama, Action & Adventure, Crime, Science-Fiction, Mystery & Thriller",8.5 (191k),44min,U,United States,,tv show,https://www.justwatch.com/in/movie/perfect-days
161,Jeet Ki Zid,(2021),"Action & Adventure, Drama",8.3 (2.6k),39min,UA,India,"('Zee5', 'VI movies and tv')",tv show,https://www.justwatch.com/in/movie/laila-majnu
162,Lost,(2004),"Action & Adventure, Fantasy, Science-Fiction, Mystery & Thriller, Drama",8.3 (603k),43min,U,United States,,tv show,https://www.justwatch.com/in/movie/hanu-man
163,Land of Tanabata,(2024),"Drama, Science-Fiction, Mystery & Thriller, Fantasy",6.5 (116),46min,,Japan,"('Hotstar',)",tv show,https://www.justwatch.com/in/movie/12th-fail
164,Gandii Baat,(2018),"Crime, Drama, Mystery & Thriller",3.4 (3k),44min,A,India,"('Alt Balaji',)",tv show,https://www.justwatch.com/in/movie/mad-max-fury-road
165,MTV Splitsvilla,(2008),"Drama, Reality TV, Romance",3.8 (596),45min,U,India,"('Jio Cinema',)",tv show,https://www.justwatch.com/in/movie/stree
166,Heeramandi: The Diamond Bazaar,(2024),"Romance, Drama, History, War & Military",6.4 (27k),54min,,India,"('Netflix',)",tv show,https://www.justwatch.com/in/movie/agent
167,My Lady Jane,(2024),"Drama, Science-Fiction, Fantasy, History, Romance, Comedy",7.4 (10k),50min,,United States,"('Amazon Prime Video',)",tv show,https://www.justwatch.com/in/movie/the-zone-of-interest
